summary,A1_fluency_score,A2_fluency_score
church is governed head of french bishops says,-0.7490524380780395,179.09910069095307
anti-israel protests target us firms jewish businesses,-0.80141690201572,150.73563499305962
obama visits rocket-battered israeli town during packed visit to israel west bank,-0.706272817192197,1406.362849231635
delta pilots recess ### talks after failed meeting,-0.7389125670011735,161.8290574221128
us sanctions against al-aqsa martyrs brigades take effect,-0.7302945069574507,148.46659398116114
lamm supporters call perot 's debate stance hypocritical,-0.7283867030259571,145.6609902693448
bangladesh journalist dies after bomb attack,-0.9181922478776312,193.658527639182
starzz ## miracle ##,-1.1875712027214378,207.19652667651044
germans traveling to france warned to exercise caution,-0.8396081046693267,442.9673005656512
border guards bar religious freedom activist from entering uzbekistan,-0.735302549529875,296.02170283662457
jury deadlocks on all but # charge against blago,-0.6749287662898604,152.37142968052606
to pray in tibetan temple they built one _ in california,-0.576344743160168,138.03845470480186
"psa peugeot citroen announces #,### job cuts says #st-quarter revenues rise",-0.6225137926337119,251.5721801008921
israel hopes christopher will bring talk resumption,-0.8043051526843512,154.70526596065883
lebanese police probe link between terrorism investigator s killing and other assassinations,-0.6053361467497238,342.28671194762893
isabel la UNK 's security box opened ; treasury claims back taxes,-0.6426673411924606,577.2557718618921
bombings kill ## at mosque in iraq,-0.982489362198697,769.0682232818885
trains for beijing rail transport roll off production line,-0.6713583868257554,146.50315766980515
us halts july # invitations to iranian diplomats,-0.7343244660026841,154.5719319621882
china tunnel links last isolated county to highway,-0.7258404643096237,141.99893393913402
france stiffens resistance to tough us draft resolution on iraq,-0.7142411330455406,439.65351322794055
pentagon delays decision on air force refueling tanker deal,-0.7417762469857366,317.8703019383589
india refutes us news report on nuclear safety,-0.8228728846243263,374.7067624403787
UNK filmmaker UNK UNK awarded france 's top honor,-0.9137641574408805,2108.0327783690896
prospect of a deadlocked race leads to late selloff,-0.7746175785397846,456.18484587573187
us dollar down in taipei,-1.2510090811728678,907.9174125786568
microsoft 's allen to aid brain research,-0.8878779059461487,328.2175255349971
bobcats owner wants to air expos games,-0.8105142306328862,163.59657657348467
naomi campbell s driver regrets involving police,-0.795234826147802,142.57794861713532
renaldo UNK benson member of motown 's four tops dies at ##,-0.5722405366463423,215.35981413948375
belt-tightening helps mitsubishi motors trim losses,-0.8743298280704586,136.34617865285068
ethiopians demonstrate support for constitution,-1.1781624066735612,545.2403451135684
doucoure wins ### hurdles at lille metropole,-0.8114363754877411,164.95996400322446
us media group knight ridder may be up for sale,-0.7832817005136058,1006.7410969904153
rugby player charged over irish death,-0.9163135194356149,190.76963751018957
barclays seeks dismissal of lehman estate suit,-0.7946056111868691,141.7728208563846
czech republic to withdraw field hospital from afghanistan,-0.7346310328958483,155.04652543323945
"##,### australian couples split up last year",-0.9010011094958426,369.36503438437876
international chamber of commerce sets up regional office in hk,-0.7239723397574376,494.11161220267127
hamas denounces arafat for attending washington summit,-0.8071865089888665,158.76958552735343
u.n. demands security in east timor,-0.9995236579545906,371.20249486023005
saudi fm to visit jordan over mideast situation,-0.8626760170732567,557.8974018027287
israel 's left and right both claim to be UNK of slain rabin,-0.7137414557167396,2975.2151498701023
french minister in l'oreal heiress row under fresh pressure,-0.679254921334041,159.79773541736253
spill investigators want to find undersea evidence,-0.8844538812765067,318.2573569795273
uae to host arab banks #### annual conference,-0.8038452578135262,309.7815851550074
governor says he crossed lines with women,-0.9703286041577708,689.3387881347198
eight killed in south yemen troubles,-1.410213655999252,9919.598308002891
suspected terrorist extradited from britain to france,-1.011983914986566,1002.8795164266973
u.s. asian allies offer quick support for bush in iraq,-0.7388970069704116,591.0244776293322
baseball needs to wise up,-1.039592014626905,206.69286621268947
zimbabwe blocks visit of un torture investigator,-0.8156548726258135,171.34332227372252
flames # predators #,-1.1863761821822036,205.7162153954253
gold in hong kong closes higher,-1.1589522585339567,1328.992647830961
eritreans remember war dead ; vow if need be to fight ethiopia,-0.6645869656413561,784.5891377497499
germany takes #-# lead,-1.1977852956506412,220.29163996473824
villa boss faces up to tough season,-0.8869920192136261,325.6110580385073
dead birds and rat poison prompt dc metro to close # stations in washington area,-0.4526740323343295,129.3142134177042
nigeria condemns attack on ecomog troops,-1.0586120574018159,595.5318772174409
ice storm blankets the south,-1.0265955222024783,188.71888113199742
ge faces $ #.# million fine for UNK repair procedures,-0.7765298086933566,928.3892121772224
chinese vice premier calls for greater efforts for spring farming,-0.7601548597970954,762.7662804473198
china 's top science academy to build ## innovation bases,-0.7550770036845665,717.6754120125718
world bank discusses african nation 's eligibility for debt relief,-0.6877853787024965,320.06301383489114
one killed in blast against mcdonald 's in france,-0.9344939027863297,2647.94105827946
american relief workers quit northern iraq,-0.9154192243984992,189.40967342704272
nationwide municipal elections held under shroud of rebel,-0.8508231455592623,495.53915042113243
foreign exchange rates in hong kong,-1.1627326790694057,1369.799819339288
illegal immigrants come to texas from inside the u.s. as other states pass tough laws,-0.5270979924667807,458.2672493858637
u.s. stepping up plans to attack iran new yorker article says,-0.6694186166095092,462.89148754393864
england fans arrested at bar for allegedly using fake u.s. dollar,-0.633732099214616,291.07120627117285
college graduates plant trees to welcome h.k. return,-0.7321302270803762,151.2171945441321
donato battling for roster spot,-1.0080125020506006,165.69974165175927
more than ### dead after cyclone hits bangladesh india,-0.7867998706346686,521.6011963277653
warships evacuate borneo refugees,-1.166722316455619,182.83323066485485
tug-of-war against us bases flares up again in okinawa,-0.799185670073485,597.7347525911244
a little road connects more than two destinations,-0.8469493172933046,476.7098762433487
mahler 's best from UNK to dudamel,-0.8945922976043286,348.6630911592312
s. african economy enjoys consecutive gdp growth,-0.796224380995555,143.85341815054196
bratislava restarts nuclear reactor to avoid blackout,-0.8780426313207053,300.413273365146
oil prices fall in asian trading,-0.9083657982109279,179.017728709758
no timetable for restoring pakistani democracy,-0.9011829561242073,169.02085460065973
rep. sonny bono decides against senate run in ####,-0.6963705773849166,192.90176668737527
chavez fellow coup leaders feud,-1.0222345079641662,183.04488695911928
us to help finance effort to arm train bosnians,-0.889294876562974,1610.5779510899133
luiz UNK ## a creator of brazilian bossa nova,-0.675166811386537,152.77093649456629
romania sees eu membership huge chance,-0.909965872964908,181.32399197904013
venezuela 's banco UNK in talks to buy banco UNK,-0.9275623703519638,5686.45206761914
government pledges to lower inflation,-1.2956427125900176,1240.8958272254306
xinhua weekly schedule of world events,-1.042325177113806,522.7795555113872
musharraf says no vajpayee handshake in almaty,-0.8805625267133945,307.30420817900074
un names costa rican to head climate change body,-0.7300532342223995,279.4128126907228
lucchino traveling in sox gm quest,-0.9013224518579015,169.20958139237945
tokyo shares seen falling under weight of us shares in coming week,-0.5956883602818653,299.04070891212285
in frigid times federal heating program can help,-0.7273467309238998,144.15400629561358
torrential rain paralyses road travel in southern switzerland,-0.8638472129605939,564.4698864342595
nippon steel suffers from high material cost,-0.8058978166312033,156.93877675873787
beer and UNK lead swiss sales at euro ####,-0.7571236116656569,376.3292614446157
german police secure their largest cocaine haul,-0.8086348059112689,160.85264152936946
germany negotiates with us to free guantanamo prisoner,-0.8412038155288695,450.0924752891915
shell has solution for getting rid of troublesome brent spar,-0.6102278849971593,126.19495463379201
uganda 's first prime minister and two-time president dead at ##,-0.7122857140129427,808.1639325056013
rafsanjani pardons man sentenced to death for shooting at him,-0.7772023227152695,935.9117827107792
animal-rights protesters take their fight straight to scientists homes ; vandalism reported,-0.554185310129053,167.25791331708163
warren takes legal action to stop hatton moving away,-0.7609496340814367,392.5055597528014
gay marriage is old news in netherlands and other nations where same-sex couples have same rights as straight couples,-0.4206210120659659,326.52901634694194
"china adjusts estimated number of hiv\/aids victims to ###,###",-0.7325604098938119,287.2259637259738
retail sales foreclosure data show outlook remains bleak,-0.7292374516348669,146.9054853740889
"algerian quake death toll surpasses #,###",-1.04028315869352,514.3087303615767
guatemalan authorities reopen #-year-old police brutality case,-0.8018611553858198,151.3395247734388
braves getting into the swing of things,-0.8145591263818518,169.66188760030138
uk interest rates remain unchanged at # percent,-0.8477223414445916,480.40923877943567
donald v. north ## leader in fbi 's fight against mafia,-0.6449817495031541,336.9091758211526
human rights group says at least ### civilians killed in chechnya this year,-0.7869863993645168,8926.197661106426
democrats vow tough scrutiny of bush 's supreme court pick,-0.8131685606345131,1441.0338377094645
taxpayers interest to be better protected,-1.1086934172921301,889.0076108889705
togo opposition calls for nationwide two-day protest after coup,-0.8450330053935186,989.7652428058879
lithuanian police detain three men in beating of nato troops,-0.6331833743581441,166.21694663061407
madagascar opposition chief vows to fight on,-1.0935760192506248,2090.084126200611
## killed ## injured in indian bus accident,-0.9104723748503389,899.7695324800563
sixteen killed in israeli strike on southern lebanese city,-0.9383535408320453,2762.7827025482256
pamela anderson brings anti-fur message to vienna 's socialites,-0.7265635485306189,268.89037295097285
russian foreign minister begins talks with beijing on iraq north korea,-0.9793699476171688,26026.224975570964
serb authorities search for karadzic s helpers ; probe history of false identity he used,-0.5257998496657493,448.2647870146122
wife of slain indonesian activist praises arrest of former intelligence official,-0.6455551513984842,339.4299560594932
euro-zone trade deficit hits #.# billion euros in november ####,-0.7726855240705216,886.5341429142305
new case of mad cow disease found in austria,-0.6789053734687038,159.18448861768817
strike paralyses karachi two die in UNK down violence,-0.7556418722024624,370.2451380128924
series of quakes hit indonesia killing #,-0.8187715787802785,176.2176064636457
tajikistan president on five-nation agreement,-1.032487614856602,196.66527165776577
aid agencies in jordan prepare to meet huge iraqi needs,-0.6868617758434001,316.5352659985335
pakistan cricket team prepares to return home after coach s murder,-0.6867365529392555,579.7667287033186
belgian minister backs royal in far-right row,-0.8231091574271205,183.232866695313
tian anmen district bureau of public security on duty,-0.6726492067695292,148.59819740121608
UNK s ##th inning homer gives cardinals win over cubs,-0.6822708797888439,299.5687401790193
organizers sign agreement for medical equipment during games,-0.8010778218997666,301.3261177759635
coup backer wants mauritania army to relinquish power,-0.734407839482769,154.70085769856817
eu commissioner confident eu-russia partnership accord to be signed on may ##,-0.6520387978814962,658.1848643492964
controversy in bolivia over iran president 's visit,-0.8241279255484321,379.43912004966467
alternative nuclear energy forum opens in bratislava,-0.9371952153225188,511.59452123421374
u.n. chief warns of new arms race,-1.059831676757257,1542.6554265816433
two grenades thrown at us embassy in yemen,-0.8104110988426317,330.8039472226788
weekly jobless claims up,-1.308669626792679,428.48609689609884
norway to give #.# million dollar grant to pakistan,-0.7527138397269512,358.5101471843967
taliban taboo falls away as female afghan singers return to the screens,-0.6859949680308217,1058.779620904264
amnesty international launches new china campaign,-0.9266240743121608,207.17234943706524
iranian president sends sympathies to victims of nigerian blast,-0.7467877232311607,335.8852832421743
irish foreign minister meets with mubarak,-1.0908379144251708,770.6711616681494
UNK demands heavier punishment for tiger hunters,-0.8076116954816996,159.3783096293817
putin visits site of russia s new launch center,-0.6881822286035769,176.28627600886637
ubs to face civil fraud charges in ny over its conduct in the auction-rate securities market,-0.5996496934557329,2706.2595599971723
